Airport Code,Airport Name,City,Country
AAA,Anaa Airport,,French Polynesia
AAB,Arrabury Airport,,Australia
AAC,El Arish International Airport,El Arish,Egypt
AAD,Adado Airport,Adado,Somalia
AAE,Rabah Bitat Airport,Annaba,Algeria
AAF,Apalachicola Regional Airport,Apalachicola,United States of America
AAG,Arapoti Airport,Arapoti,Brazil
AAH,Aachen-Merzbrück Airport,Aachen,Germany
AAI,Arraias Airport,Arraias,Brazil
AAJ,Cayana Airstrip,Awaradam,Suriname
AAK,Buariki Airport,Buariki,Kiribati
AAL,Aalborg Airport,Aalborg,Denmark
AAM,Malamala Airport,Malamala,South Africa
AAN,Al Ain International Airport,Al Ain,United Arab Emirates
AAO,Anaco Airport,Anaco,Venezuela
AAQ,Anapa Vityazevo Airport,Anapa,Russia
AAR,Aarhus Airport,Aarhus,Denmark
AAS,Apalapsili Airport,Apalapsili,Indonesia
AAT,Altay Air Base,Altay,China
AAU,Asau Airport,Asau,Samoa
AAV,Allah Valley Airport,Surallah,Philippines
AAX,Romeu Zema Airport,Araxá,Brazil
AAY,Al Ghaidah International Airport,Al Ghayzah,Yemen
AAZ,Quezaltenango Airport,Quezaltenango,Guatemala
ABA,Abakan Airport,Abakan,Russia
ABB,Asaba International Airport,Asaba,Nigeria
ABC,Albacete-Los Llanos Airport,Albacete,Spain
ABD,Abadan Airport,Abadan,Iran
ABE,Lehigh Valley International Airport,Allentown,United States of America
ABF,Abaiang Airport,Abaiang,Kiribati
ABG,Abingdon Downs Airport,,Australia
ABH,Alpha Airport,Alpha,Australia
ABI,Abilene Regional Airport,Abilene,United States of America
ABJ,Port Bouet Airport,Abidjan,Ivory Coast
ABK,Kabri Dehar Airport,Kabri Dehar,Ethiopia
ABL,Ambler Airport,Ambler,United States of America
ABM,Northern Peninsula Airport,Bamaga,Australia
ABN,Albina Airport,Albina,Suriname
ABO,Aboisso Airport,Aboisso,Ivory Coast
ABP,Atkamba Airport,Atkamba Mission,Papua New Guinea
ABQ,Albuquerque International Sunport,Albuquerque,United States of America
ABR,Aberdeen Regional Airport,Aberdeen,United States of America
ABS,Abu Simbel Airport,Abu Simbel,Egypt
ABT,Al Baha Airport,Al Bahah,Saudi Arabia
ABU,Haliwen Airport,Atambua-Timor Island,Indonesia
ABV,Nnamdi Azikiwe International Airport,Abuja,Nigeria
ABX,Albury Airport,Albury,Australia
ABY,Southwest Georgia Regional Airport,Albany,United States of America
ABZ,Aberdeen Dyce Airport,Aberdeen,United Kingdom
ACA,General Juan N Alvarez International Airport,Acapulco,Mexico
ACB,Antrim County Airport,Bellaire,United States of America
ACC,Kotoka International Airport,Accra,Ghana
ACD,Alcides Fernández Airport,Acandí,Colombia
ACE,Lanzarote Airport,Lanzarote Island,Spain
ACF,Brisbane Archerfield Airport,Brisbane,Australia
ACH,St Gallen Altenrhein Airport,Altenrhein,Switzerland
ACI,Alderney Airport,Saint Anne,Guernsey
ACJ,Anuradhapura Air Force Base,Anuradhapura,Sri Lanka
ACK,Nantucket Memorial Airport,Nantucket,United States of America
ACL,Aguaclara Airport,Aguaclara,Colombia
ACM,Arica Airport,Arica,Colombia
ACN,Ciudad Acuña New International Airport,Ciudad Acuña,Mexico
ACP,Sahand Airport,Maragheh,Iran
ACR,Araracuara Airport,Araracuara,Colombia
ACS,Achinsk Airport,Achinsk,Russia
ACT,Waco Regional Airport,Waco,United States of America
ACU,Achutupo Airport,Achutupo,Panama
ACV,California Redwood Coast-Humboldt County Airport,Arcata/Eureka,United States of America
ACX,Xingyi Airport,Xingyi,China
ACY,Atlantic City International Airport,Atlantic City,United States of America
ACZ,Zabol Airport,Zabol,Iran
ADA,Adana Airport,Adana,Turkey
ADB,Adnan Menderes International Airport,İzmir,Turkey
ADC,Andakombe Airport,Andekombe,Papua New Guinea
ADD,Addis Ababa Bole International Airport,Addis Ababa,Ethiopia
ADE,Aden International Airport,Aden,Yemen
ADF,Adıyaman Airport,Adıyaman,Turkey
ADG,Lenawee County Airport,Adrian,United States of America
ADH,Aldan Airport,Aldan,Russia
ADI,Arandis Airport,Arandis,Namibia
ADJ,Amman-Marka International Airport,Amman,Jordan
ADK,Adak Airport,Adak Island,United States of America
ADL,Adelaide International Airport,Adelaide,Australia
ADM,Ardmore Municipal Airport,Ardmore,United States of America
ADN,Andes Airport,Andes,Colombia
ADO,Andamooka Airport,Roxby Downs,Australia
ADP,Ampara Airport,Ampara,Sri Lanka
ADQ,Kodiak Airport,Kodiak,United States of America
ADR,Robert F Swinnie Airport,Andrews,United States of America
ADS,Addison Airport,Dallas,United States of America
ADT,Ada Regional Airport,Ada,United States of America
ADU,Ardabil Airport,Ardabil,Iran
ADV,El Daein Airport,El Daein,Sudan
ADW,Joint Base Andrews,Camp Springs,United States of America
ADX,RAF Leuchars,St. Andrews,United Kingdom
ADY,Alldays Airport,Alldays,South Africa
ADZ,Gustavo Rojas Pinilla International Airport,San Andrés,Colombia
AEA,Abemama Atoll Airport,Abemama Atoll,Kiribati
AEB,Baise Youjiang Airport,Baise,China
AEE,Adareil Airport,,South Sudan
AEG,Aek Godang Airport,Padang Sidempuan-Sumatra Island,Indonesia
AEH,Abeche Airport,Abéché,Chad
AEK,Aseki Airport,Aseki,Papua New Guinea
AEL,Albert Lea Municipal Airport,Albert Lea,United States of America
AEM,Amgu Airport,Amgu,Russia
AEO,Aioun el Atrouss Airport,Aioun El Atrouss,Mauritania
AEP,Jorge Newbery Airpark,Buenos Aires,Argentina
AEQ,Ar Horqin Airport,Chifeng,China
AER,Sochi International Airport,Sochi,Russia
AES,Ålesund Airport,Ålesund,Norway
AET,Allakaket Airport,Allakaket,United States of America
AEU,Abu Musa Island Airport,Abu Musa,Iran
AEX,Alexandria International Airport,Alexandria,United States of America
AEY,Akureyri Airport,Akureyri,Iceland
AFA,Suboficial Ay Santiago Germano Airport,San Rafael,Argentina
AFD,Port Alfred Airport,Port Alfred,South Africa
AFF,USAF Academy Airfield,Colorado Springs,United States of America
AFI,Amalfi Airport,Amalfi,Colombia
AFL,Piloto Osvaldo Marques Dias Airport,Alta Floresta,Brazil
AFN,Jaffrey Airport Silver Ranch Airport,Jaffrey,United States of America
AFO,Afton Municipal Airport,Afton,United States of America
AFR,Afore Airstrip,Popondetta,Papua New Guinea
AFS,Sugraly Airport,Zarafshan,Uzbekistan
AFT,Afutara Aerodrome,Bila,Solomon Islands
AFW,Fort Worth Alliance Airport,Fort Worth,United States of America
AFY,Afyon Airport,Afyonkarahisar,Turkey
AFZ,Sabzevar National Airport,Sabzevar,Iran
AGA,Al Massira Airport,Agadir,Morocco
AGB,Augsburg Airport,Augsburg,Germany
AGC,Allegheny County Airport,Pittsburgh,United States of America
AGD,Anggi Airport,Anggi-Papua Island,Indonesia
AGE,Wangerooge Airport,Wangerooge,Germany
AGF,Agen-La Garenne Airport,Agen/La Garenne,France
AGG,Angoram Airport,Angoram,Papua New Guinea
AGH,Ängelholm-Helsingborg Airport,Ängelholm,Sweden
AGI,Wageningen Airstrip,Wageningen,Suriname
AGJ,Aguni Airport,Aguni,Japan
AGK,Kagua Airport,Kagua,Papua New Guinea
AGL,Wanigela Airport,,Papua New Guinea
AGO,Ralph C Weiser Field,Magnolia,United States of America
AGP,Málaga Airport,Málaga,Spain
AGR,Agra Airport,Agra,India
AGS,Augusta Regional At Bush Field,Augusta,United States of America
AGT,Guarani International Airport,Ciudad del Este,Paraguay
AGU,Jesús Terán Paredo International Airport,Aguascalientes,Mexico
AGV,Oswaldo Guevara Mujica Airport,Acarigua,Venezuela
AGW,Agnew Airport,Agnew,Australia
AGX,Agatti Airport,Kavaratti,India
AGY,Argyle Downs Airport,Argyle Downs,Australia
AGZ,Aggeneys Airport,Aggeneys,South Africa
AHB,Abha Regional Airport,Abha,Saudi Arabia
AHC,Amedee Army Air Field,Herlong,United States of America
AHD,Ardmore Downtown Executive Airport,Ardmore,United States of America
AHE,Ahe Airport,Ahe Atoll,French Polynesia
AHF,Arapahoe Municipal Airport,Arapahoe,United States of America
AHH,Amery Municipal Airport,Amery,United States of America
AHI,Amahai Airport,Amahai-Seram Island,Indonesia
AHJ,Hongyuan Airport,Aba,China
AHL,Aishalton Airport,Aishalton,Guyana
AHM,Ashland Municipal Sumner Parker Field,Ashland,United States of America
AHN,Athens Ben Epps Airport,Athens,United States of America
AHO,Alghero-Fertilia Airport,Alghero,Italy
